
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 42498 AUGUSTIN, Anul 2005, Numar persoane, 4
Brasov, 42498 AUGUSTIN, Anul 2006, Numar persoane, 20
Brasov, 42498 AUGUSTIN, Anul 2007, Numar persoane, 11
Brasov, 42498 AUGUSTIN, Anul 2008, Numar persoane, 13
Brasov, 42498 AUGUSTIN, Anul 2009, Numar persoane, 16
Brasov, 42498 AUGUSTIN, Anul 2010, Numar persoane, 7
Brasov, 42498 AUGUSTIN, Anul 2011, Numar persoane, 10
Brasov, 42498 AUGUSTIN, Anul 2012, Numar persoane, 15
Brasov, 42498 AUGUSTIN, Anul 2013, Numar persoane, 13
Brasov, 42498 AUGUSTIN, Anul 2014, Numar persoane, 19
Brasov, 42498 AUGUSTIN, Anul 2015, Numar persoane, 9
Brasov, 42498 AUGUSTIN, Anul 2016, Numar persoane, 15
Brasov, 40544 BECLEAN, Anul 1990, Numar persoane, 34
Brasov, 40544 BECLEAN, Anul 1991, Numar persoane, 45
Brasov, 40544 BECLEAN, Anul 1992, Numar persoane, 50
Brasov, 40544 BECLEAN, Anul 1993, Numar persoane, 43
Brasov, 40544 BECLEAN, Anul 1994, Numar persoane, 38
Brasov, 40544 BECLEAN, Anul 1995, Numar persoane, 44
Brasov, 40544 BECLEAN, Anul 1996, Numar persoane, 33
Brasov, 40544 BECLEAN, Anul 1997, Numar persoane, 41
Brasov, 40544 BECLEAN, Anul 1998, Numar persoane, 35
Brasov, 40544 BECLEAN, Anul 1999, Numar persoane, 33
Brasov, 40544 BECLEAN, Anul 2000, Numar persoane, 49
Brasov, 40544 BECLEAN, Anul 2001, Numar persoane, 35
Brasov, 40544 BECLEAN, Anul 2002, Numar persoane, 36
Brasov, 40544 BECLEAN, Anul 2003, Numar persoane, 42
Brasov, 40544 BECLEAN, Anul 2004, Numar persoane, 37
Brasov, 40544 BECLEAN, Anul 2005, Numar persoane, 38
Brasov, 40544 BECLEAN, Anul 2006, Numar persoane, 30
Brasov, 40544 BECLEAN, Anul 2007, Numar persoane, 33
Brasov, 40544 BECLEAN, Anul 2008, Numar persoane, 48
Brasov, 40544 BECLEAN, Anul 2009, Numar persoane, 31
Brasov, 40544 BECLEAN, Anul 2010, Numar persoane, 47
Brasov, 40544 BECLEAN, Anul 2011, Numar persoane, 26
Brasov, 40544 BECLEAN, Anul 2012, Numar persoane, 31
Brasov, 40544 BECLEAN, Anul 2013, Numar persoane, 32
Brasov, 40544 BECLEAN, Anul 2014, Numar persoane, 31
Brasov, 40544 BECLEAN, Anul 2015, Numar persoane, 34
Brasov, 40544 BECLEAN, Anul 2016, Numar persoane, 28
Brasov, 40606 BOD, Anul 1990, Numar persoane, 40
Brasov, 40606 BOD, Anul 1991, Numar persoane, 52
Brasov, 40606 BOD, Anul 1992, Numar persoane, 43
Brasov, 40606 BOD, Anul 1993, Numar persoane, 44
Brasov, 40606 BOD, Anul 1994, Numar persoane, 38
Brasov, 40606 BOD, Anul 1995, Numar persoane, 45
Brasov, 40606 BOD, Anul 1996, Numar persoane, 55
Brasov, 40606 BOD, Anul 1997, Numar persoane, 55
Brasov, 40606 BOD, Anul 1998, Numar persoane, 42
Brasov, 40606 BOD, Anul 1999, Numar persoane, 39
Brasov, 40606 BOD, Anul 2000, Numar persoane, 39
Brasov, 40606 BOD, Anul 2001, Numar persoane, 45
Brasov, 40606 BOD, Anul 2002, Numar persoane, 44
Brasov, 40606 BOD, Anul 2003, Numar persoane, 36
Brasov, 40606 BOD, Anul 2004, Numar persoane, 42
Brasov, 40606 BOD, Anul 2005, Numar persoane, 42
Brasov, 40606 BOD, Anul 2006, Numar persoane, 31
Brasov, 40606 BOD, Anul 2007, Numar persoane, 28
Brasov, 40606 BOD, Anul 2008, Numar persoane, 34
Brasov, 40606 BOD, Anul 2009, Numar persoane, 37
Brasov, 40606 BOD, Anul 2010, Numar persoane, 51
Brasov, 40606 BOD, Anul 2011, Numar persoane, 44
Brasov, 40606 BOD, Anul 2012, Numar persoane, 46
Brasov, 40606 BOD, Anul 2013, Numar persoane, 51
Brasov, 40606 BOD, Anul 2014, Numar persoane, 62
Brasov, 40606 BOD, Anul 2015, Numar persoane, 45
Brasov, 40606 BOD, Anul 2016, Numar persoane, 50
Brasov, 40633 BRAN, Anul 1990, Numar persoane, 66
