
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Tulcea, Anul 1993, Lei, 55327
Total, Total, Tulcea, Anul 1994, Lei, 129371
Total, Total, Tulcea, Anul 1995, Lei, 172965
Total, Total, Tulcea, Anul 1996, Lei, 257515
Total, Total, Tulcea, Anul 1997, Lei, 565638
Total, Total, Tulcea, Anul 1998, Lei, 911538
Total, Total, Tulcea, Anul 1999, Lei, 1311891
Total, Total, Tulcea, Anul 2000, Lei, 1878746
Total, Total, Tulcea, Anul 2001, Lei, 2668878
Total, Total, Tulcea, Anul 2002, Lei, 3523690
Total, Total, Tulcea, Anul 2003, Lei, 4569997
Total, Total, Tulcea, Anul 2004, Lei, 5641005
Total, Total, Tulcea, Anul 2005, Lei, 652
Total, Total, Tulcea, Anul 2006, Lei, 763
Total, Total, Tulcea, Anul 2007, Lei, 934
Total, Total, Tulcea, Anul 2008, Lei, 1112
Total, Total, Vrancea, Anul 1991, Lei, 6918
Total, Total, Vrancea, Anul 1992, Lei, 18576
Total, Total, Vrancea, Anul 1993, Lei, 55854
Total, Total, Vrancea, Anul 1994, Lei, 134303
Total, Total, Vrancea, Anul 1995, Lei, 179399
Total, Total, Vrancea, Anul 1996, Lei, 273465
Total, Total, Vrancea, Anul 1997, Lei, 580247
Total, Total, Vrancea, Anul 1998, Lei, 972288
Total, Total, Vrancea, Anul 1999, Lei, 1351233
Total, Total, Vrancea, Anul 2000, Lei, 1798327
Total, Total, Vrancea, Anul 2001, Lei, 2553204
Total, Total, Vrancea, Anul 2002, Lei, 3161567
Total, Total, Vrancea, Anul 2003, Lei, 4181107
Total, Total, Vrancea, Anul 2004, Lei, 5289144
Total, Total, Vrancea, Anul 2005, Lei, 632
Total, Total, Vrancea, Anul 2006, Lei, 768
Total, Total, Vrancea, Anul 2007, Lei, 872
Total, Total, Vrancea, Anul 2008, Lei, 1064
Total, Total, MACROREGIUNEA TREI, Anul 2008, Lei, 1592
Total, Total, Regiunea SUD-MUNTENIA, Anul 1991, Lei, 7369
Total, Total, Regiunea SUD-MUNTENIA, Anul 1992, Lei, 20247
Total, Total, Regiunea SUD-MUNTENIA, Anul 1993, Lei, 58936
Total, Total, Regiunea SUD-MUNTENIA, Anul 1994, Lei, 137011
Total, Total, Regiunea SUD-MUNTENIA, Anul 1995, Lei, 206445
Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Lei, 315387
Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Lei, 624961
Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Lei, 1036189
Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Lei, 1473435
Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Lei, 2076885
Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Lei, 2961586
Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Lei, 3695089
Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Lei, 4692778
Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Lei, 5789398
Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Lei, 716
Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Lei, 835
Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Lei, 974
Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1220
Total, Total, Arges, Anul 1991, Lei, 7273
Total, Total, Arges, Anul 1992, Lei, 20270
Total, Total, Arges, Anul 1993, Lei, 59385
Total, Total, Arges, Anul 1994, Lei, 137811
Total, Total, Arges, Anul 1995, Lei, 217716
Total, Total, Arges, Anul 1996, Lei, 341671
Total, Total, Arges, Anul 1997, Lei, 676419
Total, Total, Arges, Anul 1998, Lei, 1072051
Total, Total, Arges, Anul 1999, Lei, 1480311
Total, Total, Arges, Anul 2000, Lei, 2062375
Total, Total, Arges, Anul 2001, Lei, 2998012
Total, Total, Arges, Anul 2002, Lei, 3789851
Total, Total, Arges, Anul 2003, Lei, 4874245
Total, Total, Arges, Anul 2004, Lei, 6019441
Total, Total, Arges, Anul 2005, Lei, 756
Total, Total, Arges, Anul 2006, Lei, 882
Total, Total, Arges, Anul 2007, Lei, 1008
Total, Total, Arges, Anul 2008, Lei, 1269
Total, Total, Calarasi, Anul 1991, Lei, 7109
Total, Total, Calarasi, Anul 1992, Lei, 19473
Total, Total, Calarasi, Anul 1993, Lei, 56089
Total, Total, Calarasi, Anul 1994, Lei, 129154
Total, Total, Calarasi, Anul 1995, Lei, 190407
Total, Total, Calarasi, Anul 1996, Lei, 278654
Total, Total, Calarasi, Anul 1997, Lei, 548300
Total, Total, Calarasi, Anul 1998, Lei, 874778
Total, Total, Calarasi, Anul 1999, Lei, 1288121
Total, Total, Calarasi, Anul 2000, Lei, 1673601
Total, Total, Calarasi, Anul 2001, Lei, 2466949
Total, Total, Calarasi, Anul 2002, Lei, 3063312
Total, Total, Calarasi, Anul 2003, Lei, 4013779
Total, Total, Calarasi, Anul 2004, Lei, 4765778
Total, Total, Calarasi, Anul 2005, Lei, 577
Total, Total, Calarasi, Anul 2006, Lei, 681
Total, Total, Calarasi, Anul 2007, Lei, 845
Total, Total, Calarasi, Anul 2008, Lei, 1058
Total, Total, Dambovita, Anul 1991, Lei, 7314
Total, Total, Dambovita, Anul 1992, Lei, 19845
Total, Total, Dambovita, Anul 1993, Lei, 59725
Total, Total, Dambovita, Anul 1994, Lei, 134171
Total, Total, Dambovita, Anul 1995, Lei, 209390
Total, Total, Dambovita, Anul 1996, Lei, 318403
Total, Total, Dambovita, Anul 1997, Lei, 623302
Total, Total, Dambovita, Anul 1998, Lei, 1050805
Total, Total, Dambovita, Anul 1999, Lei, 1453635
Total, Total, Dambovita, Anul 2000, Lei, 2101692
Total, Total, Dambovita, Anul 2001, Lei, 3016951
Total, Total, Dambovita, Anul 2002, Lei, 3745790
Total, Total, Dambovita, Anul 2003, Lei, 4710098
Total, Total, Dambovita, Anul 2004, Lei, 5877866
Total, Total, Dambovita, Anul 2005, Lei, 714
Total, Total, Dambovita, Anul 2006, Lei, 860
Total, Total, Dambovita, Anul 2007, Lei, 992
Total, Total, Dambovita, Anul 2008, Lei, 1184
Total, Total, Giurgiu, Anul 1991, Lei, 7047
Total, Total, Giurgiu, Anul 1992, Lei, 18662
Total, Total, Giurgiu, Anul 1993, Lei, 55189
Total, Total, Giurgiu, Anul 1994, Lei, 138732
Total, Total, Giurgiu, Anul 1995, Lei, 196418
Total, Total, Giurgiu, Anul 1996, Lei, 287372
Total, Total, Giurgiu, Anul 1997, Lei, 552243
Total, Total, Giurgiu, Anul 1998, Lei, 991410
Total, Total, Giurgiu, Anul 1999, Lei, 1330760
Total, Total, Giurgiu, Anul 2000, Lei, 1929524
Total, Total, Giurgiu, Anul 2001, Lei, 2747488
Total, Total, Giurgiu, Anul 2002, Lei, 3526607
Total, Total, Giurgiu, Anul 2003, Lei, 4285566
Total, Total, Giurgiu, Anul 2004, Lei, 5406550
Total, Total, Giurgiu, Anul 2005, Lei, 629
Total, Total, Giurgiu, Anul 2006, Lei, 763
Total, Total, Giurgiu, Anul 2007, Lei, 931
Total, Total, Giurgiu, Anul 2008, Lei, 1161
Total, Total, Ialomita, Anul 1991, Lei, 7467
Total, Total, Ialomita, Anul 1992, Lei, 19331
Total, Total, Ialomita, Anul 1993, Lei, 56350
Total, Total, Ialomita, Anul 1994, Lei, 128896
Total, Total, Ialomita, Anul 1995, Lei, 196651
Total, Total, Ialomita, Anul 1996, Lei, 296475
Total, Total, Ialomita, Anul 1997, Lei, 560849
Total, Total, Ialomita, Anul 1998, Lei, 954959
Total, Total, Ialomita, Anul 1999, Lei, 1384755
Total, Total, Ialomita, Anul 2000, Lei, 1944625
Total, Total, Ialomita, Anul 2001, Lei, 2621141
Total, Total, Ialomita, Anul 2002, Lei, 3221677
Total, Total, Ialomita, Anul 2003, Lei, 4286592
Total, Total, Ialomita, Anul 2004, Lei, 5469336
Total, Total, Ialomita, Anul 2005, Lei, 635
Total, Total, Ialomita, Anul 2006, Lei, 735
Total, Total, Ialomita, Anul 2007, Lei, 889
Total, Total, Ialomita, Anul 2008, Lei, 1087
Total, Total, Prahova, Anul 1991, Lei, 7719
Total, Total, Prahova, Anul 1992, Lei, 21660
Total, Total, Prahova, Anul 1993, Lei, 61090
Total, Total, Prahova, Anul 1994, Lei, 141698
Total, Total, Prahova, Anul 1995, Lei, 208199
Total, Total, Prahova, Anul 1996, Lei, 319996
Total, Total, Prahova, Anul 1997, Lei, 642058
Total, Total, Prahova, Anul 1998, Lei, 1093319
Total, Total, Prahova, Anul 1999, Lei, 1613696
Total, Total, Prahova, Anul 2000, Lei, 2267715
Total, Total, Prahova, Anul 2001, Lei, 3166383
Total, Total, Prahova, Anul 2002, Lei, 3911658
Total, Total, Prahova, Anul 2003, Lei, 4880061
Total, Total, Prahova, Anul 2004, Lei, 6029665
Total, Total, Prahova, Anul 2005, Lei, 773
Total, Total, Prahova, Anul 2006, Lei, 889
Total, Total, Prahova, Anul 2007, Lei, 1043
Total, Total, Prahova, Anul 2008, Lei, 1323
Total, Total, Teleorman, Anul 1991, Lei, 7069
Total, Total, Teleorman, Anul 1992, Lei, 18917
Total, Total, Teleorman, Anul 1993, Lei, 56718
Total, Total, Teleorman, Anul 1994, Lei, 136320
Total, Total, Teleorman, Anul 1995, Lei, 196121
Total, Total, Teleorman, Anul 1996, Lei, 294376
Total, Total, Teleorman, Anul 1997, Lei, 604970
Total, Total, Teleorman, Anul 1998, Lei, 977453
Total, Total, Teleorman, Anul 1999, Lei, 1385140
Total, Total, Teleorman, Anul 2000, Lei, 2018332
Total, Total, Teleorman, Anul 2001, Lei, 2907042
Total, Total, Teleorman, Anul 2002, Lei, 3618338
Total, Total, Teleorman, Anul 2003, Lei, 4663734
Total, Total, Teleorman, Anul 2004, Lei, 5600087
Total, Total, Teleorman, Anul 2005, Lei, 669
Total, Total, Teleorman, Anul 2006, Lei, 760
Total, Total, Teleorman, Anul 2007, Lei, 841
Total, Total, Teleorman, Anul 2008, Lei, 1100
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Lei, 7584
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Lei, 20634
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Lei, 62697
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Lei, 160198
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Lei, 233350
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Lei, 362471
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Lei, 724410
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Lei, 1252420
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Lei, 2056327
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Lei, 2751848
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Lei, 3894188
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Lei, 4759468
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Lei, 5929851
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Lei, 7362018
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Lei, 977
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Lei, 1129
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Lei, 1382
Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 1810
Total, Total, Ilfov, Anul 1996, Lei, 351250
Total, Total, Ilfov, Anul 1997, Lei, 638841
Total, Total, Ilfov, Anul 1998, Lei, 1084193
Total, Total, Ilfov, Anul 1999, Lei, 1765989
Total, Total, Ilfov, Anul 2000, Lei, 2474992
Total, Total, Ilfov, Anul 2001, Lei, 3403823
Total, Total, Ilfov, Anul 2002, Lei, 4323070
Total, Total, Ilfov, Anul 2003, Lei, 5399903
Total, Total, Ilfov, Anul 2004, Lei, 6878686
Total, Total, Ilfov, Anul 2005, Lei, 866
Total, Total, Ilfov, Anul 2006, Lei, 1012
Total, Total, Ilfov, Anul 2007, Lei, 1235
Total, Total, Ilfov, Anul 2008, Lei, 1560
Total, Total, Municipiul Bucuresti, Anul 1996, Lei, 363485
Total, Total, Municipiul Bucuresti, Anul 1997, Lei, 732204
Total, Total, Municipiul Bucuresti, Anul 1998, Lei, 1264396
Total, Total, Municipiul Bucuresti, Anul 1999, Lei, 2083293
Total, Total, Municipiul Bucuresti, Anul 2000, Lei, 2774530
Total, Total, Municipiul Bucuresti, Anul 2001, Lei, 3935866
Total, Total, Municipiul Bucuresti, Anul 2002, Lei, 4796667
Total, Total, Municipiul Bucuresti, Anul 2003, Lei, 5973197
Total, Total, Municipiul Bucuresti, Anul 2004, Lei, 7404648
Total, Total, Municipiul Bucuresti, Anul 2005, Lei, 988
Total, Total, Municipiul Bucuresti, Anul 2006, Lei, 1142
Total, Total, Municipiul Bucuresti, Anul 2007, Lei, 1398
Total, Total, Municipiul Bucuresti, Anul 2008, Lei, 1838
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1991, Lei, 7584
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1992, Lei, 20634
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1993, Lei, 62697
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1994, Lei, 160198
Total, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Lei, 233350
Total, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 1231
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Lei, 7557
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Lei, 21253
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Lei, 63083
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Lei, 151618
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Lei, 222254
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Lei, 335007
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Lei, 652692
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Lei, 1093336
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Lei, 1537650
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Lei, 2264133
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Lei, 3170418
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Lei, 4011225
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Lei, 5037527
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Lei, 6058561
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Lei, 734
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Lei, 853
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Lei, 1007
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1260
Total, Total, Dolj, Anul 1991, Lei, 7262
Total, Total, Dolj, Anul 1992, Lei, 19991
Total, Total, Dolj, Anul 1993, Lei, 57818
Total, Total, Dolj, Anul 1994, Lei, 138428
Total, Total, Dolj, Anul 1995, Lei, 213659
Total, Total, Dolj, Anul 1996, Lei, 319341
Total, Total, Dolj, Anul 1997, Lei, 622851
Total, Total, Dolj, Anul 1998, Lei, 1049816
Total, Total, Dolj, Anul 1999, Lei, 1437435
Total, Total, Dolj, Anul 2000, Lei, 2194837
Total, Total, Dolj, Anul 2001, Lei, 2958155
Total, Total, Dolj, Anul 2002, Lei, 3786210
Total, Total, Dolj, Anul 2003, Lei, 4826758
Total, Total, Dolj, Anul 2004, Lei, 5972615
Total, Total, Dolj, Anul 2005, Lei, 720
Total, Total, Dolj, Anul 2006, Lei, 855
Total, Total, Dolj, Anul 2007, Lei, 987
Total, Total, Dolj, Anul 2008, Lei, 1216
Total, Total, Gorj, Anul 1991, Lei, 8691
Total, Total, Gorj, Anul 1992, Lei, 25276
Total, Total, Gorj, Anul 1993, Lei, 79833
Total, Total, Gorj, Anul 1994, Lei, 185104
Total, Total, Gorj, Anul 1995, Lei, 257534
Total, Total, Gorj, Anul 1996, Lei, 379973
Total, Total, Gorj, Anul 1997, Lei, 733626
Total, Total, Gorj, Anul 1998, Lei, 1294317
Total, Total, Gorj, Anul 1999, Lei, 1799243
Total, Total, Gorj, Anul 2000, Lei, 2645821
Total, Total, Gorj, Anul 2001, Lei, 3864742
Total, Total, Gorj, Anul 2002, Lei, 4822309
Total, Total, Gorj, Anul 2003, Lei, 5865808
Total, Total, Gorj, Anul 2004, Lei, 6668843
Total, Total, Gorj, Anul 2005, Lei, 871
Total, Total, Gorj, Anul 2006, Lei, 965
Total, Total, Gorj, Anul 2007, Lei, 1152
Total, Total, Gorj, Anul 2008, Lei, 1503
Total, Total, Mehedinti, Anul 1991, Lei, 7321
Total, Total, Mehedinti, Anul 1992, Lei, 20321
Total, Total, Mehedinti, Anul 1993, Lei, 61339
Total, Total, Mehedinti, Anul 1994, Lei, 153057
Total, Total, Mehedinti, Anul 1995, Lei, 211101
Total, Total, Mehedinti, Anul 1996, Lei, 328670
Total, Total, Mehedinti, Anul 1997, Lei, 653784
Total, Total, Mehedinti, Anul 1998, Lei, 1026198
Total, Total, Mehedinti, Anul 1999, Lei, 1522832
Total, Total, Mehedinti, Anul 2000, Lei, 2236792
Total, Total, Mehedinti, Anul 2001, Lei, 3042327
Total, Total, Mehedinti, Anul 2002, Lei, 4029346
Total, Total, Mehedinti, Anul 2003, Lei, 5201340
Total, Total, Mehedinti, Anul 2004, Lei, 6479481
Total, Total, Mehedinti, Anul 2005, Lei, 740
Total, Total, Mehedinti, Anul 2006, Lei, 876
Total, Total, Mehedinti, Anul 2007, Lei, 1029
Total, Total, Mehedinti, Anul 2008, Lei, 1261
Total, Total, Olt, Anul 1991, Lei, 6884
Total, Total, Olt, Anul 1992, Lei, 19190
Total, Total, Olt, Anul 1993, Lei, 55025
Total, Total, Olt, Anul 1994, Lei, 135551
Total, Total, Olt, Anul 1995, Lei, 208305
Total, Total, Olt, Anul 1996, Lei, 313561
Total, Total, Olt, Anul 1997, Lei, 634667
Total, Total, Olt, Anul 1998, Lei, 1076002
Total, Total, Olt, Anul 1999, Lei, 1556086
Total, Total, Olt, Anul 2000, Lei, 2236206
Total, Total, Olt, Anul 2001, Lei, 3056252
Total, Total, Olt, Anul 2002, Lei, 3879653
Total, Total, Olt, Anul 2003, Lei, 4933086
Total, Total, Olt, Anul 2004, Lei, 5835521
Total, Total, Olt, Anul 2005, Lei, 707
Total, Total, Olt, Anul 2006, Lei, 804
Total, Total, Olt, Anul 2007, Lei, 959
Total, Total, Olt, Anul 2008, Lei, 1192
Total, Total, Valcea, Anul 1991, Lei, 7652
Total, Total, Valcea, Anul 1992, Lei, 21449
Total, Total, Valcea, Anul 1993, Lei, 61414
Total, Total, Valcea, Anul 1994, Lei, 146001
Total, Total, Valcea, Anul 1995, Lei, 213285
Total, Total, Valcea, Anul 1996, Lei, 326402
Total, Total, Valcea, Anul 1997, Lei, 618110
Total, Total, Valcea, Anul 1998, Lei, 1014182
Total, Total, Valcea, Anul 1999, Lei, 1427175
Total, Total, Valcea, Anul 2000, Lei, 2002497
Total, Total, Valcea, Anul 2001, Lei, 2918037
Total, Total, Valcea, Anul 2002, Lei, 3563134
Total, Total, Valcea, Anul 2003, Lei, 4467919
Total, Total, Valcea, Anul 2004, Lei, 5477252
Total, Total, Valcea, Anul 2005, Lei, 639
Total, Total, Valcea, Anul 2006, Lei, 768
Total, Total, Valcea, Anul 2007, Lei, 927
Total, Total, Valcea, Anul 2008, Lei, 1162
Total, Total, Regiunea VEST, Anul 1991, Lei, 8060
Total, Total, Regiunea VEST, Anul 1992, Lei, 21296
Total, Total, Regiunea VEST, Anul 1993, Lei, 61903
Total, Total, Regiunea VEST, Anul 1994, Lei, 148662
Total, Total, Regiunea VEST, Anul 1995, Lei, 219041
Total, Total, Regiunea VEST, Anul 1996, Lei, 325398
Total, Total, Regiunea VEST, Anul 1997, Lei, 610675
Total, Total, Regiunea VEST, Anul 1998, Lei, 970956
Total, Total, Regiunea VEST, Anul 1999, Lei, 1476072
Total, Total, Regiunea VEST, Anul 2000, Lei, 2042069
Total, Total, Regiunea VEST, Anul 2001, Lei, 2951789
Total, Total, Regiunea VEST, Anul 2002, Lei, 3675369
Total, Total, Regiunea VEST, Anul 2003, Lei, 4792965
Total, Total, Regiunea VEST, Anul 2004, Lei, 5946644
Total, Total, Regiunea VEST, Anul 2005, Lei, 718
Total, Total, Regiunea VEST, Anul 2006, Lei, 816
Total, Total, Regiunea VEST, Anul 2007, Lei, 978
Total, Total, Regiunea VEST, Anul 2008, Lei, 1207
Total, Total, Arad, Anul 1991, Lei, 7295
Total, Total, Arad, Anul 1992, Lei, 18145
Total, Total, Arad, Anul 1993, Lei, 52574
Total, Total, Arad, Anul 1994, Lei, 124981
Total, Total, Arad, Anul 1995, Lei, 178079
Total, Total, Arad, Anul 1996, Lei, 268479
Total, Total, Arad, Anul 1997, Lei, 509752
Total, Total, Arad, Anul 1998, Lei, 947013
Total, Total, Arad, Anul 1999, Lei, 1347586
Total, Total, Arad, Anul 2000, Lei, 1919924
Total, Total, Arad, Anul 2001, Lei, 2643824
Total, Total, Arad, Anul 2002, Lei, 3293053
Total, Total, Arad, Anul 2003, Lei, 4366920
Total, Total, Arad, Anul 2004, Lei, 5383496
Total, Total, Arad, Anul 2005, Lei, 666
Total, Total, Arad, Anul 2006, Lei, 790
Total, Total, Arad, Anul 2007, Lei, 953
Total, Total, Arad, Anul 2008, Lei, 1143
Total, Total, Caras-Severin, Anul 1991, Lei, 7309
Total, Total, Caras-Severin, Anul 1992, Lei, 20142
Total, Total, Caras-Severin, Anul 1993, Lei, 58075
Total, Total, Caras-Severin, Anul 1994, Lei, 133747
Total, Total, Caras-Severin, Anul 1995, Lei, 204344
Total, Total, Caras-Severin, Anul 1996, Lei, 309310
Total, Total, Caras-Severin, Anul 1997, Lei, 573834
Total, Total, Caras-Severin, Anul 1998, Lei, 932005
Total, Total, Caras-Severin, Anul 1999, Lei, 1476930
Total, Total, Caras-Severin, Anul 2000, Lei, 1850457
Total, Total, Caras-Severin, Anul 2001, Lei, 2621121
Total, Total, Caras-Severin, Anul 2002, Lei, 3281225
Total, Total, Caras-Severin, Anul 2003, Lei, 4197319
Total, Total, Caras-Severin, Anul 2004, Lei, 5066232
Total, Total, Caras-Severin, Anul 2005, Lei, 629
Total, Total, Caras-Severin, Anul 2006, Lei, 732
Total, Total, Caras-Severin, Anul 2007, Lei, 848
Total, Total, Caras-Severin, Anul 2008, Lei, 1054
Total, Total, Hunedoara, Anul 1991, Lei, 9437
Total, Total, Hunedoara, Anul 1992, Lei, 25656
Total, Total, Hunedoara, Anul 1993, Lei, 75478
Total, Total, Hunedoara, Anul 1994, Lei, 185010
Total, Total, Hunedoara, Anul 1995, Lei, 280896
Total, Total, Hunedoara, Anul 1996, Lei, 400745
Total, Total, Hunedoara, Anul 1997, Lei, 734849
Total, Total, Hunedoara, Anul 1998, Lei, 1158806
Total, Total, Hunedoara, Anul 1999, Lei, 1672268
Total, Total, Hunedoara, Anul 2000, Lei, 2382480
Total, Total, Hunedoara, Anul 2001, Lei, 3571932
Total, Total, Hunedoara, Anul 2002, Lei, 4352582
Total, Total, Hunedoara, Anul 2003, Lei, 5500623
Total, Total, Hunedoara, Anul 2004, Lei, 6700638
Total, Total, Hunedoara, Anul 2005, Lei, 761
Total, Total, Hunedoara, Anul 2006, Lei, 813
Total, Total, Hunedoara, Anul 2007, Lei, 949
Total, Total, Hunedoara, Anul 2008, Lei, 1157
Total, Total, Timis, Anul 1991, Lei, 7723
Total, Total, Timis, Anul 1992, Lei, 19987
Total, Total, Timis, Anul 1993, Lei, 57614
Total, Total, Timis, Anul 1994, Lei, 136912
Total, Total, Timis, Anul 1995, Lei, 196095
Total, Total, Timis, Anul 1996, Lei, 298168
Total, Total, Timis, Anul 1997, Lei, 594623
Total, Total, Timis, Anul 1998, Lei, 866753
Total, Total, Timis, Anul 1999, Lei, 1412707
Total, Total, Timis, Anul 2000, Lei, 1943269
Total, Total, Timis, Anul 2001, Lei, 2833091
Total, Total, Timis, Anul 2002, Lei, 3569763
Total, Total, Timis, Anul 2003, Lei, 4785636
Total, Total, Timis, Anul 2004, Lei, 6090226
Total, Total, Timis, Anul 2005, Lei, 750
Total, Total, Timis, Anul 2006, Lei, 858
Total, Total, Timis, Anul 2007, Lei, 1049
Total, Total, Timis, Anul 2008, Lei, 1319
Agricultura  vanatoare, Total, TOTAL, Anul 1990, Lei, 3587
Agricultura  vanatoare, Total, TOTAL, Anul 1991, Lei, 6752
Agricultura  vanatoare, Total, TOTAL, Anul 1992, Lei, 17151
Agricultura  vanatoare, Total, TOTAL, Anul 1993, Lei, 49053
Agricultura  vanatoare, Total, TOTAL, Anul 1994, Lei, 112922
Agricultura  vanatoare, Total, TOTAL, Anul 1995, Lei, 171148
Agricultura  vanatoare, Total, TOTAL, Anul 1996, Lei, 254194
Agricultura  vanatoare, Total, TOTAL, Anul 1997, Lei, 469680
Agricultura  vanatoare, Total, TOTAL, Anul 1998, Lei, 764800
Agricultura  vanatoare, Total, TOTAL, Anul 1999, Lei, 1164405
Agricultura  vanatoare, Total, TOTAL, Anul 2000, Lei, 1532934
Agricultura  vanatoare, Total, TOTAL, Anul 2001, Lei, 2155155
Agricultura  vanatoare, Total, TOTAL, Anul 2002, Lei, 2735743
Agricultura  vanatoare, Total, TOTAL, Anul 2003, Lei, 3435502
Agricultura  vanatoare, Total, TOTAL, Anul 2004, Lei, 4456919
Agricultura  vanatoare, Total, TOTAL, Anul 2005, Lei, 490
Agricultura  vanatoare, Total, TOTAL, Anul 2006, Lei, 591
Agricultura  vanatoare, Total, TOTAL, Anul 2007, Lei, 715
Agricultura  vanatoare, Total, TOTAL, Anul 2008, Lei, 885
Agricultura  vanatoare, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 836
Agricultura  vanatoare, Total, Regiunea NORD-VEST, Anul 1991, Lei, 6722
Agricultura  vanatoare, Total, Regiunea NORD-VEST, Anul 1992, Lei, 16432
